Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI TENGGARA,BUTON SELATAN,SIOMPU,TONGALI,TPS 4,52,81,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,LAPANDEWA,BURANGASI RUMBIA,TPS 1,52,70,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,PONDIDAHA,PUUMBINISI,TPS 1,42,172,42,172,0,0,0,0
SULAWESI TENGGARA,KOLAKA TIMUR,TIRAWUTA,TABABU,TPS 3,32,97,32,97,0,0,0,0
SULAWESI TENGGARA,WAKATOBI,WANGI-WANGI,PADA RAYA MAKMUR,TPS 1,107,136,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,MOWILA,LALOSINGI,TPS 2,124,105,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,BENUA,LAMARA,TPS 4,58,95,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA UTARA,NGAPA,LAPAI,TPS 09,72,115,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,MAWASANGKA TENGAH,GUNDU-GUNDU,TPS 2,55,50,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA,TANGGETADA,TINGGO,TPS 1,48,82,48,82,0,0,0,0
SULAWESI TENGGARA,BOMBANA,RAROWATU UTARA,HUKAEA,TPS 2,103,104,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA,POMALAA,PESOUHA,TPS 5,119,41,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,BESULUTU,PUUNDOHO,TPS 1,32,122,0,0,32,122,0,0
SULAWESI TENGGARA,KOLAKA,TOARI,LAKITO,TPS 1,67,127,67,127,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,TALAGA RAYA,LIWU LOMPONA,TPS 2,94,48,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,PADANGGUNI,LANGGEA,TPS 3,79,134,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA,POMALAA,DAWI-DAWI,TPS 12,65,80,65,80,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,LAEYA,RAMBU RAMBU,TPS 3,79,157,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,WOLIO,BUKIT WOLIO INDAH,TPS 13,49,62,49,62,0,0,0,0
SULAWESI TENGGARA,BOMBANA,RUMBIA TENGAH,KAMPUNG BARU,TPS 3,137,88,137,88,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,WOLIO,BATULO,TPS 02,85,84,85,84,0,0,0,0
SULAWESI TENGGARA,KOLAKA,SAMATURU,LAWULO,TPS 4,81,121,0,0,0,0,0,0
SULAWESI TENGGARA,WAKATOBI,WANGI-WANGI,WAETUNO,TPS 1,81,83,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA,KATOBU,WAMPONIKI,TPS 02,85,133,85,133,85,133,0,0
SULAWESI TENGGARA,KOLAKA TIMUR,LOEA,LAMOARE,TPS 2,137,52,137,52,0,0,0,0
SULAWESI TENGGARA,KOTA KENDARI,KENDARI,KANDAI,TPS 06,45,83,45,83,0,0,0,0
SULAWESI TENGGARA,MUNA,LOHIA,LAKARINTA,TPS 3,92,66,92,66,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,BAITO,WONUA RAYA,TPS 4,105,132,105,132,0,0,0,0
SULAWESI TENGGARA,KOTA KENDARI,MANDONGA,ALOLAMA,TPS 09,37,116,37,116,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,BATUPOARO,BONEBONE,TPS 08,0,0,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,KADATUA,UWEMAASI,TPS 3,65,48,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,LAKUDO,WAJOGU,TPS 1,48,119,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,TONGAUNA,NAMBEABORU,TPS 2,153,72,153,72,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,SAMPOLAWA,KATILOMBU,TPS 8,60,68,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA,BATALAIWARU,WAWESA,TPS 5,67,75,67,75,0,0,0,0
SULAWESI TENGGARA,KOLAKA TIMUR,LADONGI,LADONGI JAYA,TPS 01,70,126,70,126,0,0,0,0
SULAWESI TENGGARA,KONAWE,UNAAHA,TUMPAS,TPS 3,95,150,95,150,0,0,0,0
SULAWESI TENGGARA,BUTON,LASALIMU,TOGOMANGURA,TPS 2,78,70,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA KENDARI,KENDARI,GUNUNG JATI,TPS 05,60,127,60,127,0,0,0,0
SULAWESI TENGGARA,KOLAKA,SAMATURU,ULU KONAWEHA,TPS 6,43,142,43,142,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,WOLIO,BATARAGURU,TPS 24,73,86,73,86,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,WOLIO,BATULO,TPS 09,74,88,74,88,0,0,0,0
SULAWESI TENGGARA,KOLAKA,WOLO,ULU RINA,TPS 1,22,31,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON,PASARWAJO,KOMBELI,TPS 10,76,78,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,BUKE,BUKE,TPS 3,70,145,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE UTARA,LEMBO,LEMBO,TPS 2,40,164,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,LALEMBUU,KAPUWILA,TPS 3,137,73,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON,LASALIMU SELATAN,KINAPANI MAKMUR,TPS 1,114,79,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE UTARA,ANDOWIA,PUUSULI,TPS 1,138,53,138,53,0,0,0,0
SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII TIMUR,MUNSE INDAH,TPS 1,38,196,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,SORA WALIO,KARYA BARU,TPS 2,86,100,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA TIMUR,TINONDO,AMERORO,TPS 3,96,141,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA UTARA,WATUNOHU,TAMBUHA,TPS 4,0,0,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,MELUHU,AHUHU,TPS 3,95,67,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,LAPANDEWA,BURANGASI RUMBIA,TPS 3,70,86,70,86,0,0,0,0
SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII TIMUR LAUT,BAHO BUBU,TPS 1,19,114,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA,KOLAKA,WATULIANDU,TPS 13,92,88,92,88,0,0,0,0
SULAWESI TENGGARA,WAKATOBI,WANGI WANGI SELATAN,MOLA NELAYAN BAKTI,TPS 3,67,103,0,0,0,0,0,0
