Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SUMATERA UTARA,LABUHANBATU UTARA,KUALUH SELATAN,GUNTING SAGA,TPS 01,24,159,24,159,0,0,0,0
SUMATERA UTARA,NIAS UTARA,ALASA,OMBOLATA,TPS 5,157,18,157,18,0,0,0,0
SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN,AMPLAS,TPS 26,0,0,0,0,0,0,0,0
SUMATERA UTARA,BATU BARA,TANJUNG TIRAM,MEKAR LARAS,TPS 6,0,0,0,0,0,0,0,0
SUMATERA UTARA,LANGKAT,STABAT,PERDAMAIAN,TPS 13,106,142,106,142,0,0,0,0
SUMATERA UTARA,BATU BARA,AIR PUTIH,TANJUNGHARAPAN,TPS 7,63,78,63,78,0,0,0,0
SUMATERA UTARA,LANGKAT,SAWIT SEBERANG,SAWIT SEBERANG,TPS 07,116,49,116,49,0,0,0,0
SUMATERA UTARA,SERDANG BEDAGAI,SEI BAMBAN,PON,TPS 05,98,93,98,93,0,0,0,0
SUMATERA UTARA,SIMALUNGUN,SIANTAR,MARIHAT BARIS,TPS 08,0,0,50,73,0,0,0,0
SUMATERA UTARA,DELI SERDANG,BATANG KUIS,BARU,TPS 15,0,0,0,0,0,0,0,0
SUMATERA UTARA,BATU BARA,AIR PUTIH,LIMAU SUNDAI,TPS 2,132,1,132,1,0,0,0,0
SUMATERA UTARA,BATU BARA,TANJUNG TIRAM,KAPAL MERAH,TPS 3,107,41,0,0,0,0,0,0
SUMATERA UTARA,DELI SERDANG,SUNGGAL,PAYA GELI,TPS 50,0,0,0,0,0,0,0,0
SUMATERA UTARA,LANGKAT,SELESAI,PADANG BRAHRANG,TPS 17,84,198,84,198,0,0,0,0
SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN,BANDAR KLIPPA,TPS 018,0,0,31,89,0,0,0,0
SUMATERA UTARA,KOTA PEMATANGSIANTAR,SIANTAR MARIHAT,BARINGIN PANCUR NAULI,TPS 9,160,4,160,4,0,0,0,0
SUMATERA UTARA,KOTA MEDAN,MEDAN DENAI,TEGAL S MANDALA III,TPS 27,26,171,26,171,0,0,0,0
SUMATERA UTARA,LANGKAT,BINJAI,TANJUNG JATI,TPS 14,66,173,66,173,0,0,0,0
SUMATERA UTARA,KOTA TANJUNG BALAI,DATUK BANDAR TIMUR,SELAT TANJUNG MEDAN,TPS 06,25,147,25,147,0,0,0,0
SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN,BANDAR KLIPPA,TPS 084,0,0,0,0,0,0,0,0
SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN KOTA,GUNUNG TUA JAE,TPS 6,22,162,22,162,0,0,0,0
SUMATERA UTARA,LANGKAT,SEI BINGEI,TANJUNG GUNUNG,TPS 4,190,28,190,28,0,0,0,0
SUMATERA UTARA,BATU BARA,TANJUNG TIRAM,UJUNG KUBU,TPS 01,21,117,21,117,0,0,0,0
SUMATERA UTARA,DELI SERDANG,TANJUNG MORAWA,TANJUNG MORAWA B,TPS 31,0,0,0,0,0,0,0,0
SUMATERA UTARA,LANGKAT,SECANGGANG,KEPALA SUNGAI,TPS 06,129,80,0,0,0,0,0,0
SUMATERA UTARA,ASAHAN,TANJUNG BALAI,BAGAN ASAHAN PEKAN,TPS 01,0,0,0,0,0,0,0,0
SUMATERA UTARA,KARO,BERASTAGI,TAMBAK LAU MULGAP I,TPS 6,0,0,0,0,0,0,0,0
SUMATERA UTARA,ASAHAN,KOTA KISARAN TIMUR,SENTANG,TPS 02,66,107,66,107,0,0,0,0
SUMATERA UTARA,KOTA PADANG SIDEMPUAN,PADANGSIDIMPUAN UTARA,SADABUAN,TPS 08,35,107,35,107,0,0,0,0
SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN,KOLAM,TPS 25,0,0,0,0,0,0,0,0
SUMATERA UTARA,NIAS BARAT,SIROMBU,TOGIDEU,TPS 2,208,9,208,9,0,0,0,0
SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,LOLO'ANA'A IDANOI,TPS 5,0,0,0,0,0,0,0,0
SUMATERA UTARA,LANGKAT,SEI BINGEI,RUMAH GALUH,TPS 2,188,40,188,40,0,0,0,0
SUMATERA UTARA,TAPANULI TENGAH,KOLANG,P.O. HURLANG,TPS 1,183,16,183,16,0,0,0,0
SUMATERA UTARA,NIAS SELATAN,O'O'U,HILINAMOZIHONO,TPS 2,173,20,0,0,0,0,0,0
SUMATERA UTARA,LABUHANBATU,BILAH HILIR,TANJUNG HALOBAN,TPS 11,32,88,32,88,0,0,0,0
SUMATERA UTARA,DELI SERDANG,BANGUN PURBA,BAH PERAK,TPS 2,138,17,0,0,0,0,0,0
SUMATERA UTARA,NIAS SELATAN,MAZO,LUAHANDROITO,TPS 1,214,28,214,28,0,0,0,0
SUMATERA UTARA,DELI SERDANG,HAMPARAN PERAK,SELEMAK,TPS 04,0,0,0,0,0,0,0,0
SUMATERA UTARA,KOTA PADANG SIDEMPUAN,PADANGSIDIMPUAN SELATAN,UJUNG PADANG,TPS 16,30,151,30,151,0,0,0,0
SUMATERA UTARA,LABUHANBATU SELATAN,TORGAMBA,AEK BATU,TPS 60,112,60,112,60,0,0,0,0
SUMATERA UTARA,MANDAILING NATAL,BATAHAN,KUALA BATAHAN,TPS 5,19,188,19,188,0,0,0,0
SUMATERA UTARA,TAPANULI UTARA,PANGARIBUAN,SIGOTOM DOLOK NAULI,TPS 1,161,4,161,4,0,0,0,0
SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,SUDIREJO 1,TPS 30,0,0,0,0,0,0,0,0
